timestamp,rpm,temperature,oil_pressure,vibration,fuel_rate
2026-08-01T06:00:00,2510.3,92.48,44.62,0.99,5.65
2026-08-01T06:00:30,2492.4,90.45,42.95,1.143,5.58
2026-08-01T06:01:00,2533.5,93.09,41.64,0.832,5.71
2026-08-01T06:01:30,2499.4,91.09,42.36,0.941,5.65
2026-08-01T06:02:00,2503.1,91.78,42.26,1.029,5.67
2026-08-01T06:02:30,2530.5,92.49,40.75,1.297,5.58
2026-08-01T06:03:00,2538.6,96.55,41.69,1.21,5.39
2026-08-01T06:03:30,2536.0,93.93,41.02,1.288,5.37
2026-08-01T06:04:00,2496.8,92.31,42.51,1.128,5.82
2026-08-01T06:04:30,2544.6,94.89,41.45,1.16,5.65
2026-08-01T06:05:00,2516.4,93.56,40.95,1.347,5.6
2026-08-01T06:05:30,2544.9,93.8,40.95,1.339,5.73
2026-08-01T06:06:00,2514.6,96.02,41.11,1.418,5.9
2026-08-01T06:06:30,2554.7,95.28,41.32,1.375,5.79
2026-08-01T06:07:00,2532.1,96.01,39.53,1.451,5.63
2026-08-01T06:07:30,2524.8,96.07,39.31,1.47,6.02
2026-08-01T06:08:00,2566.8,96.89,41.28,1.562,6.1
2026-08-01T06:08:30,2559.2,97.41,39.59,1.595,5.9
2026-08-01T06:09:00,2543.6,94.74,38.41,1.383,6.01
2026-08-01T06:09:30,2586.3,98.53,40.09,1.35,6.07
2026-08-01T06:10:00,2549.5,96.79,39.93,1.705,6.06
2026-08-01T06:10:30,2559.8,96.6,37.76,1.754,5.97
2026-08-01T06:11:00,2565.1,98.8,39.35,1.563,5.98
2026-08-01T06:11:30,2547.6,99.39,39.68,1.51,5.97
2026-08-01T06:12:00,2569.4,98.78,39.14,1.736,5.66
2026-08-01T06:12:30,2549.1,101.16,39.22,1.849,6.03
2026-08-01T06:13:00,2551.0,98.74,37.01,1.966,5.63
2026-08-01T06:13:30,2585.7,100.36,38.57,1.868,5.76
2026-08-01T06:14:00,2536.6,100.53,37.76,1.81,6.19
2026-08-01T06:14:30,2507.8,101.64,37.4,1.788,6.11
2026-08-01T06:15:00,2586.8,102.46,38.58,1.909,6.25
2026-08-01T06:15:30,2603.8,101.19,39.01,1.908,5.91
2026-08-01T06:16:00,2542.6,103.85,39.15,1.867,5.75
2026-08-01T06:16:30,2509.8,103.39,38.49,2.203,5.94
2026-08-01T06:17:00,2539.8,101.25,36.89,2.207,6.02
2026-08-01T06:17:30,2537.7,101.57,37.18,2.172,6.03
2026-08-01T06:18:00,2536.7,104.5,37.41,1.997,6.25
2026-08-01T06:18:30,2515.2,104.64,36.59,2.205,5.96
2026-08-01T06:19:00,2545.9,105.19,36.42,2.214,6.12
2026-08-01T06:19:30,2541.4,105.69,36.94,2.224,5.86
