timestamp,rpm,temperature,oil_pressure,vibration,fuel_rate
2026-08-01T06:00:00,2373.5,91.09,41.34,0.969,5.27
2026-08-01T06:00:30,2394.9,91.48,42.36,1.021,5.37
2026-08-01T06:01:00,2417.7,92.27,40.61,0.955,5.46
2026-08-01T06:01:30,2411.9,90.57,43.44,0.938,5.75
2026-08-01T06:02:00,2405.4,92.87,41.86,0.964,5.49
2026-08-01T06:02:30,2409.4,93.9,42.29,0.997,5.71
2026-08-01T06:03:00,2413.0,93.24,44.33,0.963,5.55
2026-08-01T06:03:30,2413.9,91.12,43.52,1.077,5.69
2026-08-01T06:04:00,2481.2,93.02,41.69,1.13,5.65
2026-08-01T06:04:30,2445.5,94.2,41.41,0.951,5.82
2026-08-01T06:05:00,2461.0,91.18,41.67,1.086,5.63
2026-08-01T06:05:30,2437.1,92.28,42.51,1.072,5.49
2026-08-01T06:06:00,2446.5,94.75,41.89,1.121,5.54
2026-08-01T06:06:30,2439.1,94.14,41.6,1.095,5.68
2026-08-01T06:07:00,2403.2,94.43,43.47,0.982,5.59
2026-08-01T06:07:30,2431.3,9999.0,41.89,0.999,5.86
2026-08-01T06:08:00,2425.1,94.71,,1.102,5.74
2026-08-01T06:08:30,2418.4,95.04,,1.181,6.18
2026-08-01T06:09:00,2441.3,97.6,,0.92,5.58
2026-08-01T06:09:30,2493.3,94.18,42.36,1.122,5.88
2026-08-01T06:10:00,2467.1,93.57,42.96,1.186,5.69
2026-08-01T06:10:30,2494.8,95.12,41.28,1.074,5.79
2026-08-01T06:11:00,2477.8,95.2,41.15,1.125,5.9
2026-08-01T06:11:30,2485.6,94.11,42.46,1.018,5.53
2026-08-01T06:12:00,2452.0,93.56,42.99,1.058,5.92
2026-08-01T06:12:30,2480.2,97.62,42.04,0.93,6.18
2026-08-01T06:13:00,2483.7,95.28,40.71,0.864,5.83
2026-08-01T06:13:30,2456.6,94.05,40.64,1.118,5.94
2026-08-01T06:14:00,2478.1,96.06,40.57,0.955,6.05
2026-08-01T06:14:30,2476.8,94.85,40.23,0.987,5.88
2026-08-01T06:15:00,2452.7,94.69,42.11,0.903,5.81
2026-08-01T06:15:30,2439.1,95.67,43.13,0.891,5.55
2026-08-01T06:16:00,2435.5,93.45,41.99,0.98,5.99
2026-08-01T06:16:30,2458.3,95.41,39.74,0.926,5.87
2026-08-01T06:17:00,2460.3,97.27,41.81,1.005,5.73
2026-08-01T06:17:30,2434.8,95.51,41.84,1.001,5.89
2026-08-01T06:18:00,2447.8,94.47,44.1,0.981,5.78
2026-08-01T06:18:30,2455.1,94.28,40.54,0.966,5.77
2026-08-01T06:19:00,2452.4,94.35,41.61,1.065,5.93
2026-08-01T06:19:30,2467.1,94.48,43.71,0.846,5.63
2026-08-01T06:20:00,2457.5,94.27,42.45,15.846,5.98
2026-08-01T06:20:30,2407.8,95.76,42.56,1.009,5.59
2026-08-01T06:21:00,2457.1,92.51,42.11,1.014,5.69
2026-08-01T06:21:30,2408.4,95.55,42.33,0.795,6.06
2026-08-01T06:22:00,2435.4,93.97,42.78,0.88,5.93
2026-08-01T06:22:30,2411.2,94.79,41.19,1.011,5.75
2026-08-01T06:23:00,2397.0,92.88,42.88,0.941,5.58
2026-08-01T06:23:30,2364.4,95.73,40.63,0.916,5.62
2026-08-01T06:24:00,2392.5,95.52,42.33,0.883,5.69
2026-08-01T06:24:30,2360.1,95.06,42.18,0.871,5.67
2026-08-01T06:25:00,2406.0,91.98,41.38,0.927,5.63
2026-08-01T06:25:30,2412.4,94.67,41.98,0.887,5.62
2026-08-01T06:26:00,2361.7,94.03,41.38,0.908,5.57
2026-08-01T06:26:30,2379.3,91.49,40.93,0.923,5.36
